Month,season_adjust
2005 Jan,88.51052118505216
2005 Feb,88.23098233917203
2005 Mar,88.88726808014837
2005 Apr,88.32831549585738
2005 May,88.68742195156833
2005 Jun,89.20479256293866
2005 Jul,89.17958342576475
2005 Aug,89.76509517977847
2005 Sep,90.05312952979048
2005 Oct,90.48247358343832
2005 Nov,90.58524834270484
2005 Dec,90.40622897057001
2006 Jan,91.40708524506478
2006 Feb,91.62366697793279
2006 Mar,91.58119663450681
2006 Apr,91.92727018325365
2006 May,92.7860801173923
2006 Jun,92.90908834609544
2006 Jul,92.97402285373278
2006 Aug,93.26742413779458
2006 Sep,92.55690205502081
2006 Oct,92.98384700186296
2006 Nov,93.69365645535457
2006 Dec,94.50998622642561
2007 Jan,93.10340864549227
2007 Feb,93.6162667491828
2007 Mar,94.77502112801106
2007 Apr,95.22642930785969
2007 May,94.08539287335199
2007 Jun,94.9142980026538
2007 Jul,95.1697187647579
2007 Aug,95.2714297859478
2007 Sep,95.4626214899671
2007 Oct,96.08759993303241
2007 Nov,96.70495167752819
2007 Dec,96.51718720450064
2008 Jan,97.70403245381166
2008 Feb,98.3968364265388
2008 Mar,97.26566356269416
2008 Apr,97.51594287060608
2008 May,98.47819013425429
2008 Jun,97.82492935897194
2008 Jul,97.55593011674186
2008 Aug,97.77512881045504
2008 Sep,98.56208501618197
2008 Oct,96.89478285024416
2008 Nov,96.22448967851493
2008 Dec,95.23023240356531
2009 Jan,94.40688264825131
2009 Feb,93.379445148246
2009 Mar,92.85775773328996
2009 Apr,93.90647043141728
2009 May,93.37194695676472
2009 Jun,93.23591147470174
2009 Jul,93.44196675233047
2009 Aug,93.17807460614516
2009 Sep,93.46025846435252
2009 Oct,93.79940397499553
2009 Nov,93.64040248859861
2009 Dec,94.83818999548042
2010 Jan,94.4705892157239
2010 Feb,94.77492573325596
2010 Mar,95.81486585704175
2010 Apr,95.26575084856296
2010 May,95.95123579554797
2010 Jun,95.75393559496182
2010 Jul,95.93640479049303
2010 Aug,95.55090566736622
2010 Sep,95.786586620693
2010 Oct,96.0082977718748
2010 Nov,96.4817822583637
2010 Dec,96.78046763304496
2011 Jan,96.92288567712258
2011 Feb,97.76040288892125
2011 Mar,96.7636105420688
2011 Apr,98.01802230030596
2011 May,96.42544509433812
2011 Jun,97.26857751378633
2011 Jul,97.52924129216726
2011 Aug,97.42393787688457
2011 Sep,97.51496027331117
2011 Oct,98.22098778701992
2011 Nov,98.02886728852243
2011 Dec,97.73008630206486
2012 Jan,98.3867270157894
2012 Feb,98.05682314715617
2012 Mar,98.809617148813345
2012 Apr,97.56668955078264
2012 May,98.0760578539304
2012 Jun,98.23098839484398
2012 Jul,98.01280705805644
2012 Aug,98.26888267202777
2012 Sep,98.00727890474302
2012 Oct,97.7213355471913
2012 Nov,97.37714359248456
2012 Dec,97.64610473870066
2013 Jan,97.45968253903611
2013 Feb,97.36058520726611
2013 Mar,97.56150148236875
2013 Apr,97.019181753279
2013 May,98.02884275742085
2013 Jun,97.39389586372052
2013 Jul,97.99507719873993
2013 Aug,98.01124970224488
2013 Sep,98.0956293072222
2013 Oct,97.71688921294862
2013 Nov,98.6197582733764
2013 Dec,97.85661543418651
2014 Jan,98.25423494240596
2014 Feb,98.20612389726855
2014 Mar,98.35328898192708
2014 Apr,98.45145068752689
2014 May,97.97267621720951
2014 Jun,98.36992886956452
2014 Jul,97.59872746889269
2014 Aug,98.75138842566109
2014 Sep,98.38081851835804
2014 Oct,98.6255989005854
2014 Nov,98.73407558578283
2014 Dec,98.65261873780827
2015 Jan,98.95864935867485
2015 Feb,99.16114998829205
2015 Mar,99.05422260118428
2015 Apr,100.09202238633007
2015 May,100.42380243363151
2015 Jun,100.45240495307999
2015 Jul,100.70765449747485
2015 Aug,100.39614203362784
2015 Sep,100.26968576307927
2015 Oct,100.13744878267855
2015 Nov,99.4509119271273
2015 Dec,100.75075682429998
2016 Jan,100.28598129995189
2016 Feb,100.38930964263804
2016 Mar,99.8658408946963
2016 Apr,100.08029288919596
2016 May,100.63019320344105
2016 Jun,100.62919900797573
2016 Jul,101.30828569606864
2016 Aug,101.40410962747976
2016 Sep,101.16605260747886
2016 Oct,103.13980270608137
2016 Nov,102.20027680793592
2016 Dec,103.16552108587422
2017 Jan,103.71217385091634
2017 Feb,104.01625212779798
2017 Mar,104.77604758320312
2017 Apr,104.26718428948254
2017 May,104.635279036293
2017 Jun,104.60471847074517
2017 Jul,104.9077393084794
2017 Aug,104.41090889194729
2017 Sep,106.36098540220564
2017 Oct,104.84093299817975
2017 Nov,106.84789520358241
2017 Dec,107.17809654958387
2018 Jan,106.6239903374154
2018 Feb,106.42933568449149
2018 Mar,107.18235306104259
2018 Apr,107.56679349850717
2018 May,108.13704438277762
2018 Jun,108.20012831703905
2018 Jul,108.20879198609477
2018 Aug,108.52276432059817
2018 Sep,108.5601020034289
2018 Oct,109.64166770526909
2018 Nov,109.72801020879874
2018 Dec,108.77816236928854
2019 Jan,109.63096486180754
2019 Feb,110.23808344099788
2019 Mar,110.38498722075578
2019 Apr,110.96341528194108
2019 May,110.33656452468011
2019 Jun,111.3937458960146
2019 Jul,111.30856366212855
2019 Aug,111.73377090665677
2019 Sep,111.75858527243415
2019 Oct,111.54230923431403
2019 Nov,112.40802223597332
2019 Dec,111.87807402973989
