Month,season_adjust
2005 Jan,2396656.0507576982
2005 Feb,2408920.32655477
2005 Mar,2416513.394746806
2005 Apr,2416628.6966203973
2005 May,2412591.095559302
2005 Jun,2420147.745714481
2005 Jul,2429347.856141501
2005 Aug,2431727.5199667
2005 Sep,2437741.636900671
2005 Oct,2440765.6588723063
2005 Nov,2451594.0990135777
2005 Dec,2452474.3814386833
2006 Jan,2469148.390279281
2006 Feb,2476267.947053615
2006 Mar,2481920.2234740444
2006 Apr,2487587.632065403
2006 May,2501700.983720145
2006 Jun,2507684.947519216
2006 Jul,2508266.6776302313
2006 Aug,2513479.6991911544
2006 Sep,2513128.925276357
2006 Oct,2524269.6347122956
2006 Nov,2539508.3385295393
2006 Dec,2560049.1892321645
2007 Jan,2556445.2298015906
2007 Feb,2559997.0792184
2007 Mar,2572668.889828067
2007 Apr,2576388.5289522973
2007 May,2575263.7646829714
2007 Jun,2580138.2319505997
2007 Jul,2583307.2176485406
2007 Aug,2587906.3377656583
2007 Sep,2587930.476241468
2007 Oct,2596735.563928355
2007 Nov,2601769.764452278
2007 Dec,2604090.3447793596
2008 Jan,2615792.5092964657
2008 Feb,2624572.35972949
2008 Mar,2614359.151938183
2008 Apr,2613832.6494747098
2008 May,2604930.1766373888
2008 Jun,2598061.4264896885
2008 Jul,2590985.3345856764
2008 Aug,2587783.1566420808
2008 Sep,2590999.644329913
2008 Oct,2573305.7274615336
2008 Nov,2546123.055544123
2008 Dec,2516966.6852278993
2009 Jan,2493744.351693981
2009 Feb,2468116.9920326257
2009 Mar,2451841.1430213684
2009 Apr,2460993.084305349
2009 May,2466942.076963113
2009 Jun,2470594.4764319863
2009 Jul,2472029.4156356147
2009 Aug,2468619.642781132
2009 Sep,2477876.310537511
2009 Oct,2481446.225522505
2009 Nov,2482782.2422853443
2009 Dec,2491576.1139823585
2010 Jan,2496450.802948401
2010 Feb,2497536.7767235325
2010 Mar,2511479.5426192107
2010 Apr,2512772.309068626
2010 May,2523873.4060997674
2010 Jun,2528424.0956224347
2010 Jul,2529297.805017779
2010 Aug,2528834.26478526
2010 Sep,2530444.3643227415
2010 Oct,2535468.6943307533
2010 Nov,2546838.269952388
2010 Dec,2559045.9137941464
2011 Jan,2566844.2342322613
2011 Feb,2580009.572561762
2011 Mar,2576227.1949671092
2011 Apr,2578469.609566314
2011 May,2567468.8743863855
2011 Jun,2564584.2695861654
2011 Jul,2571217.909640227
2011 Aug,2572299.062233065
2011 Sep,2566954.2817291617
2011 Oct,2565624.8673688495
2011 Nov,2564900.6330752126
2011 Dec,2559308.196243497
2012 Jan,2559030.0931398706
2012 Feb,2558175.0170847024
2012 Mar,2562599.850254851
2012 Apr,2551309.9963483103
2012 May,2551186.942189979
2012 Jun,2548945.574861255
2012 Jul,2544368.977778243
2012 Aug,2549033.847507993
2012 Sep,2543889.1247562966
2012 Oct,2542060.394272576
2012 Nov,2534583.352144223
2012 Dec,2533974.1755276704
2013 Jan,2528340.5010747057
2013 Feb,2524757.754509699
2013 Mar,2530621.623549244
2013 Apr,2533781.5571983266
2013 May,2543570.861577144
2013 Jun,2544460.0775271617
2013 Jul,2544374.1921170503
2013 Aug,2547617.9158999017
2013 Sep,2551345.148206764
2013 Oct,2548360.318327736
2013 Nov,2560482.390340587
2013 Dec,2559907.165228218
2014 Jan,2564493.7880162382
2014 Feb,2567949.997961734
2014 Mar,2567707.3221891094
2014 Apr,2573346.407185524
2014 May,2569721.654647792
2014 Jun,2573276.1281200666
2014 Jul,2577880.194967758
2014 Aug,2582783.9801693363
2014 Sep,2587619.392623236
2014 Oct,2591590.7927005175
2014 Nov,2592795.517408223
2014 Dec,2598616.1650987472
2015 Jan,2602247.5058847815
2015 Feb,2614458.8467473965
2015 Mar,2618213.7271492155
2015 Apr,2618572.2734432514
2015 May,2623000.958421585
2015 Jun,2628124.371550904
2015 Jul,2634582.839355188
2015 Aug,2631882.3752848506
2015 Sep,2635937.690842568
2015 Oct,2645019.4786744644
2015 Nov,2641281.348827013
2015 Dec,2650878.50929304
2016 Jan,2663674.313160378
2016 Feb,2662262.0089609064
2016 Mar,2656791.3105748696
2016 Apr,2664923.0021480992
2016 May,2666295.5044027795
2016 Jun,2671728.823394898
2016 Jul,2677338.3144854847
2016 Aug,2680626.964664524
2016 Sep,2680096.891685841
2016 Oct,2696712.722850065
2016 Nov,2698573.4569832813
2016 Dec,2706176.582360157
2017 Jan,2710396.378291778
2017 Feb,2718446.879763071
2017 Mar,2728486.949604221
2017 Apr,2733749.730348734
2017 May,2740638.7465954223
2017 Jun,2743247.0720364535
2017 Jul,2753943.5090894364
2017 Aug,2757174.8756565987
2017 Sep,2771192.9593574447
2017 Oct,2761628.369904993
2017 Nov,2784586.847617093
2017 Dec,2802348.053869652
2018 Jan,2792395.288904162
2018 Feb,2783571.4179232027
2018 Mar,2787235.2844635095
2018 Apr,2791607.3375163637
2018 May,2802532.6953071463
2018 Jun,2807583.471612163
2018 Jul,2800886.5879227766
2018 Aug,2806043.4825273682
2018 Sep,2806482.864470781
2018 Oct,2816747.0423642555
2018 Nov,2817684.9355481053
2018 Dec,2815012.446438221
2019 Jan,2823830.324068214
2019 Feb,2832379.0527856303
2019 Mar,2837197.7790096034
2019 Apr,2837115.944433251
2019 May,2835267.3581983736
2019 Jun,2838405.8455813387
2019 Jul,2838292.17799311
2019 Aug,2843494.1698029987
2019 Sep,2848615.824567842
2019 Oct,2851227.2788819303
2019 Nov,2851403.743474286
2019 Dec,2829140.493897758
